                      The alpha separation energy of elements 89 to 118. (Unit: MeV)

Nucl.	        EXP	        LDM	        DZ	        WS4	        FRDM	LDM-lgb	DZ-lgb	WS4-lgb	FRDM-lgb
121	173	294	14.136±0.111	13.923±0.001	14.184±0.000	14.342±0.004
121	174	295	13.947±0.116	13.612±0.013	13.956±0.008	14.132±0.009
121	175	296	13.899±0.105	13.325±0.024	14.073±0.016	14.177±0.014
121	176	297	13.625±0.103	13.230±0.127	14.138±0.010	14.350±0.024
121	177	298	13.403±0.104	        #         	13.948±0.003	14.501±0.051
121	178	299	13.340±0.110	        #         	13.629±0.002	14.018±0.003
121	179	300	13.307±0.107	        #         	13.877±0.001	13.824±0.005
121	180	301	13.000±0.101	        #         	13.803±0.004	14.177±0.003
121	181	302	12.983±0.109	        #         	13.540±0.001	13.951±0.006
121	182	303	12.749±0.099	        #         	13.310±0.001	14.002±0.001
121	183	304	12.683±0.102	        #         	13.325±0.001	13.979±0.006
121	184	305	12.605±0.101	        #         	13.287±0.006	13.981±0.000
121	185	306	12.217±0.097	        #         	13.814±0.002	14.613±0.005
121	186	307	12.120±0.103	        #         	14.297±0.003	14.663±0.005
121	187	308	12.037±0.097	        #         	14.100±0.010	13.614±0.005
121	188	309	11.798±0.084	        #         	13.221±0.003	12.898±0.004
121	189	310	11.696±0.095	        #         	12.461±0.003	11.739±0.003
121	190	311	11.621±0.044	        #         	11.788±0.002	11.664±0.001
121	191	312	11.517±0.066	        #         	11.701±0.009	11.529±0.007
121	192	313	11.432±0.043	        #         	11.696±0.006	11.507±0.005
121	193	314	11.287±0.034	        #         	11.569±0.003	11.288±0.004
121	194	315	11.063±0.022	        #         	11.252±0.002	11.120±0.001
121	195	316	11.044±0.025	        #         	10.198±0.004	10.897±0.004
121	196	317	10.885±0.023	        #         	10.778±0.002	10.651±0.003
121	197	318	10.766±0.031	        #         	10.839±0.006	10.569±0.000
121	198	319	10.703±0.025	        #         	10.813±0.003	10.249±0.001
121	199	320	10.634±0.036	        #         	10.741±0.001	10.171±0.001
121	200	321	10.552±0.016	        #         	10.589±0.008	9.974±0.001
121	201	322	10.432±0.019	        #         	10.340±0.008	9.813±0.002
121	202	323	10.251±0.006	        #         	10.113±0.011	9.536±0.015
121	203	324	10.201±0.002	        #         	9.846±0.058	9.526±0.049
121	204	325	10.118±0.004	        #         	9.628±0.022	9.497±0.011
121	205	326	9.950±0.030	        #         	9.274±0.010	9.193±0.027
121	206	327	9.929±0.013	        #         	11.203±0.011	9.022±0.027
121	207	328	9.847±0.002	        #         	9.525±0.005	8.986±0.028
121	208	329	9.670±0.010	        #         	8.892±0.003	8.651±0.005
121	209	330	9.531±0.012	        #         	8.567±0.005	8.568±0.001
121	210	331	9.333±0.004	        #         	8.797±0.001	6.469±0.003
121	211	332	9.234±0.006	        #         	8.647±0.001	6.169±0.002
121	212	333	9.079±0.005	        #         	8.523±0.007	6.719±0.006
121	213	334	8.968±0.005	        #         	8.395±0.000	6.604±0.003
121	214	335	8.820±0.004	        #         	8.151±0.003	7.999±0.003
121	215	336	8.702±0.006	        #         	7.968±0.001	7.932±0.000
121	216	337	8.554±0.005	        #         	7.783±0.003	7.737±0.002
121	217	338	8.439±0.005	        #         	7.914±0.002	7.637±0.002
121	218	339	8.287±0.005	        #         	7.906±0.001	7.395±0.002
121	219	340	8.167±0.007	        #         	7.737±0.001	        #         
121	220	341	8.016±0.006	        #         	8.167±0.002	        #         
121	221	342	        #         	        #         	7.626±0.001	        #         
121	222	343	        #         	        #         	7.742±0.003	        #         
121	223	344	        #         	        #         	7.487±0.001	        #         
121	224	345	        #         	        #         	7.175±0.003	        #         
121	225	346	        #         	        #         	6.639±0.001	        #         
121	226	347	        #         	        #         	6.324±0.003	        #         
121	227	348	        #         	        #         	5.747±0.001	        #         
121	228	349	        #         	        #         	5.352±0.003	        #         
121	229	350	        #         	        #         	5.573±0.001	        #         
122	116	238	17.813±0.103	        #         	        #         	        #         
122	117	239	17.678±0.088	        #         	        #         	        #         
122	118	240	17.552±0.099	        #         	        #         	        #         
122	119	241	17.472±0.117	        #         	        #         	        #         
122	120	242	17.185±0.123	        #         	        #         	        #         
122	121	243	16.895±0.077	        #         	        #         	        #         
122	122	244	16.740±0.071	        #         	        #         	        #         
122	123	245	16.622±0.061	        #         	        #         	        #         
122	124	246	16.411±0.059	        #         	        #         	        #         
122	125	247	16.102±0.056	        #         	        #         	        #         
122	126	248	16.409±0.054	        #         	        #         	        #         
122	127	249	17.476±0.074	        #         	        #         	        #         
122	128	250	18.227±0.088	        #         	        #         	        #         
122	129	251	18.298±0.077	        #         	        #         	        #         
122	130	252	18.064±0.061	        #         	        #         	        #         
122	131	253	18.068±0.083	        #         	        #         	        #         
122	132	254	18.330±0.086	        #         	        #         	        #         
122	133	255	18.443±0.049	        #         	        #         	        #         
122	134	256	18.287±0.028	        #         	        #         	        #         
122	135	257	18.082±0.014	        #         	        #         	        #         
122	136	258	17.782±0.043	        #         	        #         	        #         
122	137	259	17.877±0.086	        #         	        #         	        #         
122	138	260	17.778±0.079	        #         	        #         	        #         
122	139	261	17.716±0.081	        #         	        #         	        #         
122	140	262	17.623±0.086	        #         	        #         	        #         
122	141	263	17.476±0.082	        #         	        #         	        #         
122	142	264	17.344±0.084	        #         	        #         	        #         
122	143	265	17.299±0.078	        #         	        #         	        #         
122	144	266	17.110±0.080	        #         	        #         	        #         
122	145	267	17.090±0.079	        #         	        #         	        #         
122	146	268	16.972±0.080	        #         	        #         	        #         
122	147	269	16.976±0.065	        #         	        #         	        #         
122	148	270	16.749±0.073	        #         	        #         	        #         
122	149	271	16.467±0.070	        #         	        #         	        #         
122	150	272	16.361±0.078	        #         	        #         	        #         
122	151	273	16.325±0.072	        #         	        #         	        #         
122	152	274	16.127±0.075	        #         	        #         	        #         
122	153	275	16.383±0.047	        #         	        #         	        #         
122	154	276	16.408±0.056	16.750±0.064	        #         	        #         
122	155	277	16.370±0.068	16.577±0.059	        #         	        #         
122	156	278	16.218±0.077	16.202±0.006	        #         	        #         
122	157	279	16.135±0.073	16.086±0.005	        #         	        #         
122	158	280	15.989±0.081	15.953±0.007	        #         	        #         
122	159	281	15.963±0.072	15.899±0.009	        #         	        #         
122	160	282	15.795±0.080	15.776±0.007	        #         	        #         
122	161	283	15.755±0.069	15.728±0.006	        #         	        #         
122	162	284	15.587±0.071	15.593±0.007	        #         	        #         
122	163	285	15.524±0.068	15.546±0.008	        #         	        #         
122	164	286	15.385±0.069	15.430±0.006	        #         	        #         
122	165	287	15.328±0.064	15.387±0.007	        #         	        #         
122	166	288	15.184±0.074	15.268±0.008	        #         	        #         
122	167	289	15.118±0.067	15.253±0.006	15.023±0.002	        #         
122	168	290	14.986±0.075	15.126±0.006	15.048±0.002	        #         
122	169	291	14.919±0.069	14.504±0.007	15.083±0.001	        #         
122	170	292	14.770±0.078	14.241±0.007	14.990±0.002	        #         
122	171	293	14.704±0.071	14.851±0.007	14.824±0.001	        #         
122	172	294	14.552±0.082	14.530±0.006	14.630±0.002	14.397±0.003
122	173	295	14.510±0.073	14.300±0.008	14.770±0.000	14.441±0.001
122	174	296	14.368±0.078	14.010±0.008	14.690±0.002	14.862±0.002
122	175	297	14.292±0.077	13.747±0.010	14.674±0.001	14.862±0.003
122	176	298	14.077±0.084	        #         	14.631±0.006	15.052±0.003
122	177	299	13.906±0.073	        #         	14.487±0.002	14.594±0.007
122	178	300	13.821±0.079	        #         	14.195±0.003	14.637±0.011
122	179	301	13.700±0.077	        #         	14.328±0.003	14.419±0.004
122	180	302	13.447±0.082	        #         	14.167±0.005	14.737±0.010
122	181	303	13.367±0.073	        #         	13.892±0.001	14.505±0.002
122	182	304	13.175±0.074	        #         	13.668±0.000	14.563±0.005
122	183	305	13.073±0.041	        #         	13.777±0.000	14.474±0.001
122	184	306	12.954±0.098	        #         	13.762±0.000	14.578±0.002
122	185	307	12.872±0.085	        #         	14.416±0.003	15.239±0.004
122	186	308	12.578±0.068	        #         	14.891±0.002	15.212±0.002
122	187	309	12.400±0.072	        #         	14.275±0.000	13.715±0.001
122	188	310	12.306±0.084	        #         	13.399±0.003	13.054±0.002
122	189	311	12.120±0.073	        #         	12.724±0.006	12.646±0.002
122	190	312	12.055±0.072	        #         	12.139±0.003	12.646±0.000
122	191	313	11.811±0.062	        #         	12.160±0.003	12.628±0.001
122	192	314	11.758±0.048	        #         	12.085±0.002	12.476±0.002
122	193	315	11.630±0.059	        #         	12.042±0.004	12.400±0.002
122	194	316	11.581±0.059	        #         	11.699±0.005	12.136±0.002
122	195	317	11.378±0.041	        #         	11.460±0.003	11.984±0.003
122	196	318	11.212±0.035	        #         	10.691±0.003	11.708±0.003
122	197	319	11.264±0.040	        #         	11.738±0.006	11.585±0.006
122	198	320	10.969±0.035	        #         	11.700±0.002	11.297±0.003
122	199	321	10.972±0.037	        #         	11.607±0.001	11.176±0.005
122	200	322	10.766±0.040	        #         	11.227±0.001	10.612±0.010
122	201	323	10.745±0.040	        #         	11.148±0.001	10.340±0.006
122	202	324	10.611±0.041	        #         	12.211±0.004	10.112±0.005
122	203	325	10.554±0.019	        #         	12.074±0.007	8.769±0.005
122	204	326	10.350±0.019	        #         	10.221±0.004	9.812±0.001
122	205	327	10.378±0.021	        #         	10.091±0.039	9.868±0.008
122	206	328	10.195±0.035	        #         	11.758±0.017	9.624±0.042
122	207	329	10.047±0.043	        #         	11.784±0.016	9.325±0.022
122	208	330	10.002±0.018	        #         	9.130±0.002	9.181±0.023
122	209	331	9.895±0.027	        #         	9.248±0.003	8.730±0.006
122	210	332	9.714±0.032	        #         	9.008±0.005	7.148±0.014
122	211	333	9.605±0.035	        #         	9.100±0.006	7.139±0.002
122	212	334	9.400±0.027	        #         	8.798±0.003	6.904±0.006
122	213	335	9.318±0.032	        #         	8.819±0.002	8.696±0.005
122	214	336	9.146±0.032	        #         	8.585±0.003	8.604±0.010
122	215	337	9.055±0.030	        #         	8.409±0.002	8.481±0.009
122	216	338	8.889±0.031	        #         	8.154±0.004	8.290±0.009
122	217	339	8.790±0.031	        #         	8.339±0.002	8.198±0.003
122	218	340	8.625±0.028	        #         	9.259±0.000	        #         
122	219	341	8.526±0.028	        #         	9.140±0.004	        #         
122	220	342	8.361±0.028	        #         	9.050±0.003	        #         
122	221	343	8.258±0.030	        #         	7.650±0.003	        #         
122	222	344	        #         	        #         	8.159±0.002	        #         
122	223	345	        #         	        #         	8.082±0.003	        #         
122	224	346	        #         	        #         	7.746±0.001	        #         
122	225	347	        #         	        #         	7.335±0.003	        #         
122	226	348	        #         	        #         	6.668±0.001	        #         
122	227	349	        #         	        #         	6.189±0.003	        #         
122	228	350	        #         	        #         	5.740±0.001	        #         
123	117	240	17.383±0.113	        #         	        #         	        #         
123	118	241	17.262±0.121	        #         	        #         	        #         
123	119	242	17.185±0.135	        #         	        #         	        #         
123	120	243	17.005±0.116	        #         	        #         	        #         
123	121	244	16.806±0.080	        #         	        #         	        #         
123	122	245	16.670±0.074	        #         	        #         	        #         
123	123	246	16.577±0.072	        #         	        #         	        #         
123	124	247	16.314±0.082	        #         	        #         	        #         
123	125	248	16.014±0.087	        #         	        #         	        #         
123	126	249	16.209±0.098	        #         	        #         	        #         
123	127	250	17.441±0.112	        #         	        #         	        #         
123	128	251	18.436±0.111	        #         	        #         	        #         
123	129	252	18.535±0.111	        #         	        #         	        #         
123	130	253	18.493±0.080	        #         	        #         	        #         
123	131	254	18.480±0.082	        #         	        #         	        #         
123	132	255	18.574±0.085	        #         	        #         	        #         
123	133	256	18.457±0.050	        #         	        #         	        #         
123	134	257	18.164±0.043	        #         	        #         	        #         
123	135	258	17.988±0.047	        #         	        #         	        #         
123	136	259	17.743±0.072	        #         	        #         	        #         
123	137	260	17.784±0.108	        #         	        #         	        #         
123	138	261	17.718±0.111	        #         	        #         	        #         
123	139	262	17.674±0.103	        #         	        #         	        #         
123	140	263	17.523±0.107	        #         	        #         	        #         
123	141	264	17.439±0.113	        #         	        #         	        #         
123	142	265	17.309±0.108	        #         	        #         	        #         
123	143	266	17.271±0.111	        #         	        #         	        #         
123	144	267	17.168±0.112	        #         	        #         	        #         
123	145	268	17.046±0.118	        #         	        #         	        #         
123	146	269	17.031±0.117	        #         	        #         	        #         
123	147	270	16.916±0.105	        #         	        #         	        #         
123	148	271	16.747±0.113	        #         	        #         	        #         
123	149	272	16.442±0.119	        #         	        #         	        #         
123	150	273	16.419±0.108	        #         	        #         	        #         
123	151	274	16.296±0.118	        #         	        #         	        #         
123	152	275	16.166±0.104	        #         	        #         	        #         
123	153	276	16.377±0.084	        #         	        #         	        #         
123	154	277	16.497±0.093	        #         	        #         	        #         
123	155	278	16.372±0.100	        #         	        #         	        #         
123	156	279	16.220±0.107	        #         	        #         	        #         
123	157	280	16.180±0.112	        #         	        #         	        #         
123	158	281	16.056±0.115	        #         	        #         	        #         
123	159	282	15.974±0.121	        #         	        #         	        #         
123	160	283	15.856±0.116	        #         	        #         	        #         
123	161	284	15.788±0.118	        #         	        #         	        #         
123	162	285	15.692±0.115	        #         	        #         	        #         
123	163	286	15.579±0.112	        #         	        #         	        #         
123	164	287	15.464±0.111	        #         	        #         	        #         
123	165	288	15.384±0.105	        #         	        #         	        #         
123	166	289	15.255±0.109	        #         	        #         	        #         
123	167	290	15.174±0.107	        #         	        #         	        #         
123	168	291	15.072±0.111	        #         	        #         	        #         
123	169	292	14.960±0.104	        #         	15.455±0.003	        #         
123	170	293	14.882±0.113	        #         	15.382±0.001	        #         
123	171	294	14.721±0.108	        #         	15.098±0.003	        #         
123	172	295	14.661±0.111	        #         	14.952±0.001	        #         
123	173	296	14.549±0.105	        #         	15.032±0.000	        #         
123	174	297	14.451±0.109	        #         	15.217±0.003	15.139±0.003
123	175	298	14.375±0.106	        #         	15.144±0.004	14.832±0.004
123	176	299	14.262±0.110	        #         	15.128±0.002	14.992±0.003
123	177	300	14.091±0.109	        #         	14.808±0.009	14.921±0.008
123	178	301	13.985±0.110	        #         	14.466±0.015	14.952±0.020
123	179	302	13.866±0.101	        #         	14.625±0.004	14.805±0.045
123	180	303	13.534±0.104	        #         	14.599±0.002	15.138±0.049
123	181	304	13.484±0.111	        #         	14.366±0.001	15.099±0.002
123	182	305	13.403±0.106	        #         	14.232±0.001	15.080±0.004
123	183	306	13.146±0.102	        #         	14.242±0.004	15.198±0.004
123	184	307	13.088±0.114	        #         	14.265±0.001	15.151±0.006
123	185	308	12.905±0.102	        #         	14.837±0.001	15.803±0.001
123	186	309	12.771±0.102	        #         	15.266±0.002	15.786±0.005
123	187	310	12.737±0.117	        #         	14.577±0.004	14.028±0.000
123	188	311	12.356±0.112	        #         	13.673±0.001	13.261±0.001
123	189	312	12.222±0.116	        #         	12.909±0.003	13.254±0.004
123	190	313	12.184±0.111	        #         	12.680±0.007	13.327±0.001
123	191	314	11.913±0.112	        #         	12.646±0.004	13.216±0.002
123	192	315	11.762±0.140	        #         	12.638±0.001	13.136±0.001
123	193	316	11.722±0.089	        #         	12.529±0.000	12.989±0.000
123	194	317	11.523±0.098	        #         	12.195±0.001	12.711±0.004
123	195	318	11.483±0.116	        #         	11.887±0.005	12.566±0.003
123	196	319	11.298±0.108	        #         	11.525±0.001	12.299±0.003
123	197	320	11.115±0.091	        #         	12.251±0.002	12.221±0.002
123	198	321	10.987±0.083	        #         	12.244±0.007	11.975±0.006
123	199	322	10.938±0.100	        #         	12.122±0.010	11.786±0.005
123	200	323	10.727±0.092	        #         	11.789±0.003	11.324±0.004
123	201	324	10.685±0.093	        #         	11.663±0.018	10.886±0.006
123	202	325	10.543±0.113	        #         	12.283±0.004	10.533±0.009
123	203	326	10.446±0.105	        #         	12.434±0.008	10.316±0.006
123	204	327	10.341±0.112	        #         	12.296±0.013	10.141±0.007
123	205	328	10.184±0.083	        #         	12.320±0.008	10.126±0.007
123	206	329	10.009±0.088	        #         	12.113±0.011	9.692±0.004
123	207	330	9.981±0.090	        #         	12.294±0.027	9.683±0.000
123	208	331	9.779±0.112	        #         	10.121±0.035	9.116±0.040
123	209	332	9.723±0.125	        #         	9.908±0.015	9.072±0.016
123	210	333	9.677±0.099	        #         	9.711±0.003	9.478±0.019
123	211	334	9.556±0.101	        #         	9.524±0.006	7.736±0.007
123	212	335	9.401±0.107	        #         	9.548±0.012	9.346±0.003
123	213	336	9.234±0.106	        #         	9.425±0.010	9.169±0.002
123	214	337	9.089±0.103	        #         	7.315±0.009	8.962±0.008
123	215	338	8.976±0.108	        #         	7.255±0.004	8.871±0.012
123	216	339	8.838±0.107	        #         	7.177±0.003	8.723±0.012
123	217	340	8.721±0.107	        #         	9.010±0.007	        #         
123	218	341	8.582±0.105	        #         	8.726±0.008	        #         
123	219	342	8.458±0.105	        #         	8.492±0.008	        #         
123	220	343	8.319±0.103	        #         	8.203±0.007	        #         
123	221	344	8.196±0.103	        #         	8.026±0.009	        #         
123	222	345	8.057±0.102	        #         	7.835±0.009	        #         
123	223	346	        #         	        #         	8.139±0.008	        #         
123	224	347	        #         	        #         	7.942±0.008	        #         
123	225	348	        #         	        #         	7.806±0.008	        #         
123	226	349	        #         	        #         	7.205±0.008	        #         
123	227	350	        #         	        #         	6.838±0.008	        #         
124	118	242	17.131±0.046	        #         	        #         	        #         
124	119	243	16.992±0.076	        #         	        #         	        #         
124	120	244	16.873±0.089	        #         	        #         	        #         
124	121	245	16.754±0.063	        #         	        #         	        #         
124	122	246	16.725±0.045	        #         	        #         	        #         
124	123	247	16.512±0.050	        #         	        #         	        #         
124	124	248	16.362±0.043	        #         	        #         	        #         
124	125	249	16.026±0.044	        #         	        #         	        #         
124	126	250	16.194±0.076	        #         	        #         	        #         
124	127	251	17.580±0.091	        #         	        #         	        #         
124	128	252	18.681±0.089	        #         	        #         	        #         
124	129	253	18.926±0.062	        #         	        #         	        #         
124	130	254	18.909±0.058	        #         	        #         	        #         
124	131	255	18.857±0.046	        #         	        #         	        #         
124	132	256	18.647±0.044	        #         	        #         	        #         
124	133	257	18.496±0.021	        #         	        #         	        #         
124	134	258	18.162±0.007	        #         	        #         	        #         
124	135	259	17.918±0.003	        #         	        #         	        #         
124	136	260	17.789±0.014	        #         	        #         	        #         
124	137	261	17.710±0.046	        #         	        #         	        #         
124	138	262	17.627±0.068	        #         	        #         	        #         
124	139	263	17.487±0.060	        #         	        #         	        #         
124	140	264	17.359±0.071	        #         	        #         	        #         
124	141	265	17.188±0.069	        #         	        #         	        #         
124	142	266	17.140±0.068	        #         	        #         	        #         
124	143	267	17.080±0.077	        #         	        #         	        #         
124	144	268	17.039±0.085	        #         	        #         	        #         
124	145	269	16.873±0.086	        #         	        #         	        #         
124	146	270	16.876±0.088	        #         	        #         	        #         
124	147	271	16.777±0.078	        #         	        #         	        #         
124	148	272	16.585±0.084	        #         	        #         	        #         
124	149	273	16.286±0.096	        #         	        #         	        #         
124	150	274	16.286±0.091	        #         	        #         	        #         
124	151	275	16.186±0.091	        #         	        #         	        #         
124	152	276	16.046±0.074	        #         	        #         	        #         
124	153	277	16.226±0.061	        #         	        #         	        #         
124	154	278	16.357±0.070	        #         	        #         	        #         
124	155	279	16.293±0.090	        #         	        #         	        #         
124	156	280	16.076±0.082	        #         	        #         	        #         
124	157	281	16.038±0.092	        #         	        #         	        #         
124	158	282	15.942±0.087	        #         	        #         	        #         
124	159	283	15.841±0.093	        #         	        #         	        #         
124	160	284	15.771±0.091	        #         	        #         	        #         
124	161	285	15.656±0.097	        #         	        #         	        #         
124	162	286	15.579±0.100	        #         	        #         	        #         
124	163	287	15.442±0.099	        #         	        #         	        #         
124	164	288	15.364±0.100	        #         	        #         	        #         
124	165	289	15.219±0.097	        #         	        #         	        #         
124	166	290	15.136±0.096	        #         	        #         	        #         
124	167	291	15.013±0.098	        #         	        #         	        #         
124	168	292	14.933±0.086	        #         	        #         	        #         
124	169	293	14.795±0.091	        #         	        #         	        #         
124	170	294	14.679±0.085	        #         	        #         	        #         
124	171	295	14.592±0.095	        #         	        #         	        #         
124	172	296	14.483±0.088	        #         	15.179±0.006	        #         
124	173	297	14.392±0.086	        #         	15.467±0.005	        #         
124	174	298	14.264±0.079	        #         	15.709±0.006	        #         
124	175	299	14.158±0.087	        #         	15.539±0.007	        #         
124	176	300	14.056±0.082	        #         	15.321±0.004	14.941±0.000
124	177	301	13.965±0.084	        #         	15.158±0.006	14.841±0.000
124	178	302	13.844±0.089	        #         	14.855±0.002	14.427±0.002
124	179	303	13.682±0.088	        #         	14.891±0.014	14.959±0.005
124	180	304	13.410±0.080	        #         	14.958±0.003	15.478±0.007
124	181	305	13.323±0.084	        #         	14.832±0.002	15.536±0.003
124	182	306	13.279±0.093	        #         	14.808±0.001	15.575±0.004
124	183	307	13.027±0.087	        #         	14.717±0.010	15.623±0.005
124	184	308	12.941±0.089	        #         	14.669±0.005	15.645±0.001
124	185	309	12.772±0.093	        #         	15.223±0.003	15.185±0.004
124	186	310	12.652±0.070	        #         	15.472±0.001	15.065±0.004
124	187	311	12.519±0.102	        #         	14.735±0.002	14.068±0.004
124	188	312	12.439±0.103	        #         	13.883±0.002	13.318±0.007
124	189	313	12.178±0.099	        #         	13.475±0.006	10.125±0.004
124	190	314	11.984±0.104	        #         	13.211±0.002	10.103±0.003
124	191	315	11.929±0.111	        #         	13.186±0.000	10.132±0.003
124	192	316	11.669±0.111	        #         	13.203±0.002	13.589±0.008
124	193	317	11.626±0.130	        #         	12.977±0.006	13.338±0.004
124	194	318	11.439±0.140	        #         	12.560±0.003	13.220±0.002
124	195	319	11.305±0.135	        #         	12.140±0.002	12.919±0.005
124	196	320	11.149±0.121	        #         	11.928±0.003	12.755±0.010
124	197	321	11.076±0.119	        #         	11.855±0.004	7.179±0.004
124	198	322	10.852±0.119	        #         	12.262±0.004	12.258±0.006
124	199	323	10.645±0.119	        #         	12.221±0.006	11.762±0.004
124	200	324	10.623±0.114	        #         	12.047±0.007	11.449±0.009
124	201	325	10.421±0.119	        #         	11.895±0.010	10.940±0.008
124	202	326	10.347±0.107	        #         	12.297±0.006	9.406±0.005
124	203	327	10.231±0.116	        #         	12.432±0.008	9.430±0.004
124	204	328	10.153±0.126	        #         	11.231±0.009	9.425±0.009
124	205	329	10.048±0.120	        #         	11.106±0.010	10.884±0.009
124	206	330	9.917±0.113	        #         	12.446±0.001	9.570±0.001
124	207	331	9.741±0.099	        #         	12.625±0.005	9.534±0.011
124	208	332	9.697±0.103	        #         	10.772±0.047	9.274±0.048
124	209	333	9.608±0.101	        #         	10.598±0.019	9.569±0.015
124	210	334	9.406±0.132	        #         	10.242±0.009	9.284±0.022
124	211	335	9.405±0.134	        #         	10.111±0.001	8.455±0.022
124	212	336	9.334±0.119	        #         	9.926±0.002	9.765±0.027
124	213	337	9.161±0.119	        #         	9.994±0.004	11.112±0.009
124	214	338	9.020±0.122	        #         	7.725±0.007	9.490±0.003
124	215	339	8.832±0.114	        #         	7.639±0.007	9.305±0.009
124	216	340	8.708±0.112	        #         	7.590±0.003	        #         
124	217	341	8.575±0.119	        #         	7.590±0.002	        #         
124	218	342	8.456±0.118	        #         	7.532±0.002	        #         
124	219	343	8.321±0.117	        #         	7.232±0.003	        #         
124	220	344	8.199±0.117	        #         	8.775±0.005	        #         
124	221	345	8.062±0.118	        #         	8.598±0.001	        #         
124	222	346	7.940±0.117	        #         	8.157±0.002	        #         
124	223	347	7.800±0.117	        #         	8.208±0.004	        #         
124	224	348	        #         	        #         	8.110±0.004	        #         
124	225	349	        #         	        #         	8.123±0.004	        #         
124	226	350	        #         	        #         	7.792±0.004	        #         
125	119	244	17.444±0.024	        #         	        #         	        #         
125	120	245	17.229±0.051	        #         	        #         	        #         
125	121	246	17.190±0.022	        #         	        #         	        #         
125	122	247	16.898±0.023	        #         	        #         	        #         
125	123	248	16.631±0.035	        #         	        #         	        #         
125	124	249	16.211±0.010	        #         	        #         	        #         
125	125	250	15.902±0.012	        #         	        #         	        #         
125	126	251	15.926±0.032	        #         	        #         	        #         
125	127	252	17.608±0.053	        #         	        #         	        #         
125	128	253	18.995±0.024	        #         	        #         	        #         
125	129	254	19.366±0.023	        #         	        #         	        #         
125	130	255	19.302±0.025	        #         	        #         	        #         
125	131	256	19.158±0.002	        #         	        #         	        #         
125	132	257	18.745±0.031	        #         	        #         	        #         
125	133	258	18.663±0.010	        #         	        #         	        #         
125	134	259	18.474±0.032	        #         	        #         	        #         
125	135	260	18.369±0.024	        #         	        #         	        #         
125	136	261	18.173±0.021	        #         	        #         	        #         
125	137	262	18.145±0.009	        #         	        #         	        #         
125	138	263	17.911±0.015	        #         	        #         	        #         
125	139	264	17.878±0.018	        #         	        #         	        #         
125	140	265	17.604±0.031	        #         	        #         	        #         
125	141	266	17.588±0.038	        #         	        #         	        #         
125	142	267	17.489±0.034	        #         	        #         	        #         
125	143	268	17.592±0.036	        #         	        #         	        #         
125	144	269	17.400±0.038	        #         	        #         	        #         
125	145	270	17.340±0.036	        #         	        #         	        #         
125	146	271	17.211±0.035	        #         	        #         	        #         
125	147	272	17.168±0.028	        #         	        #         	        #         
125	148	273	16.941±0.030	        #         	        #         	        #         
125	149	274	16.661±0.046	        #         	        #         	        #         
125	150	275	16.611±0.034	        #         	        #         	        #         
125	151	276	16.553±0.036	        #         	        #         	        #         
125	152	277	16.367±0.023	        #         	        #         	        #         
125	153	278	16.621±0.013	        #         	        #         	        #         
125	154	279	16.680±0.022	        #         	        #         	        #         
125	155	280	16.659±0.038	        #         	        #         	        #         
125	156	281	16.412±0.032	        #         	        #         	        #         
125	157	282	16.400±0.042	        #         	        #         	        #         
125	158	283	16.284±0.041	        #         	        #         	        #         
125	159	284	16.202±0.039	        #         	        #         	        #         
125	160	285	16.081±0.039	        #         	        #         	        #         
125	161	286	16.024±0.037	        #         	        #         	        #         
125	162	287	15.878±0.041	        #         	        #         	        #         
125	163	288	15.856±0.038	        #         	        #         	        #         
125	164	289	15.667±0.043	        #         	        #         	        #         
125	165	290	15.653±0.044	        #         	        #         	        #         
125	166	291	15.462±0.043	        #         	        #         	        #         
125	167	292	15.394±0.051	        #         	        #         	        #         
125	168	293	15.266±0.045	        #         	        #         	        #         
125	169	294	15.210±0.042	        #         	        #         	        #         
125	170	295	15.054±0.039	        #         	        #         	        #         
125	171	296	14.977±0.044	        #         	        #         	        #         
125	172	297	14.830±0.040	        #         	        #         	        #         
125	173	298	14.766±0.042	        #         	        #         	        #         
125	174	299	14.579±0.036	        #         	16.395±0.002	        #         
125	175	300	14.508±0.034	        #         	16.165±0.001	        #         
125	176	301	14.378±0.031	        #         	15.838±0.000	        #         
125	177	302	14.292±0.036	        #         	15.630±0.001	        #         
125	178	303	14.141±0.032	        #         	15.387±0.001	14.693±0.002
125	179	304	14.084±0.036	        #         	15.526±0.002	14.792±0.001
125	180	305	13.857±0.036	        #         	15.540±0.008	14.621±0.002
125	181	306	13.690±0.044	        #         	15.474±0.007	14.995±0.013
125	182	307	13.613±0.038	        #         	15.437±0.001	15.046±0.047
125	183	308	13.368±0.042	        #         	15.386±0.003	16.358±0.039
125	184	309	13.226±0.040	        #         	15.266±0.002	16.294±0.002
125	185	310	13.235±0.039	        #         	15.902±0.001	11.279±0.001
125	186	311	12.941±0.030	        #         	15.745±0.003	10.902±0.000
125	187	312	12.922±0.056	        #         	15.035±0.001	9.777±0.004
125	188	313	12.721±0.031	        #         	14.216±0.001	9.205±0.000
125	189	314	12.653±0.036	        #         	13.957±0.003	9.748±0.006
125	190	315	12.572±0.048	        #         	13.716±0.005	9.753±0.001
125	191	316	12.269±0.053	        #         	13.651±0.000	9.658±0.001
125	192	317	12.092±0.051	        #         	13.569±0.005	9.689±0.007
125	193	318	12.087±0.052	        #         	13.254±0.002	9.760±0.002
